"시스템","DNS 이름","사용자","호스트","에이전트 버전","데이터스토어","상태"
"pkorvd045","pkorvd045.ad.here.com","ad.here.com\yesji","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd147","pkorvd147.ad.here.com","ad.here.com\shedge","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd093","pkorvd093.ad.here.com","ad.here.com\shingnek","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd052","pkorvd052.ad.here.com","ad.here.com\rkhan","pkor01esx119.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd140","pkorvd140.ad.here.com","ad.here.com\kayadav","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd049","pkorvd049.ad.here.com","ad.here.com\wankhade","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd080","pkorvd080.ad.here.com","ad.here.com\desale","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd135","pkorvd135.ad.here.com","ad.here.com\bdavis","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd057","pkorvd057.ad.here.com","ad.here.com\gudpas","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd113","pkorvd113.ad.here.com","ad.here.com\ctrivedi","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd055","pkorvd055.ad.here.com","ad.here.com\disharma","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd014","pkorvd014.ad.here.com","ad.here.com\amary","pkor01esx114.core.in.here.com","7.1.0","[kor-pure01-ds32]","사용 가능"
"pkorvd128","pkorvd128.ad.here.com","ad.here.com\rpatel","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd015","pkorvd015.ad.here.com","ad.here.com\devpatil","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd132","pkorvd132.ad.here.com","ad.here.com\begupta","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd112","pkorvd112.ad.here.com","ad.here.com\gowda","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd091","pkorvd091.ad.here.com","ad.here.com\rakyadav","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd031","pkorvd031.ad.here.com","ad.here.com\ksakpal","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd013","pkorvd013.ad.here.com","ad.here.com\jdhobale","pkor01esx110.core.in.here.com","7.1.0","[kor-pure01-ds31]","사용 가능"
"pkorvd107","pkorvd107.ad.here.com","ad.here.com\sachan","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd028","pkorvd028.ad.here.com","ad.here.com\ckoli","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd141","pkorvd141.ad.here.com","ad.here.com\arsolank","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd024","pkorvd024.ad.here.com","ad.here.com\dhanke","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd083","pkorvd083.ad.here.com","ad.here.com\atodanka","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd150","pkorvd150.ad.here.com","ad.here.com\shadshai","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd095","pkorvd095.ad.here.com","ad.here.com\vdsouza","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd070","pkorvd070.ad.here.com","ad.here.com\akhandel","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd149","pkorvd149.ad.here.com","ad.here.com\pashetty","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd004","pkorvd004.ad.here.com","ad.here.com\kashetty","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd063","pkorvd063.ad.here.com","ad.here.com\kudmate","pkor01esx119.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd127","pkorvd127.ad.here.com","ad.here.com\rmenon","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","연결됨"
"pkorvd047","pkorvd047.ad.here.com","ad.here.com\avishwak","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd133","pkorvd133.ad.here.com","ad.here.com\kiambre","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd156","pkorvd156.ad.here.com","ad.here.com\fchettia","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd039","pkorvd039.ad.here.com","ad.here.com\pandiya","pkor01esx112.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd134","pkorvd134.ad.here.com","ad.here.com\rnadar","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd087","pkorvd087.ad.here.com","ad.here.com\doctor","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd035","pkorvd035.ad.here.com","ad.here.com\sankhan","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd009","pkorvd009.ad.here.com","ad.here.com\ankpatil","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd044","pkorvd044.ad.here.com","ad.here.com\murdeshw","pkor01esx112.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd046","pkorvd046.ad.here.com","ad.here.com\talreja","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd027","pkorvd027.ad.here.com","ad.here.com\gachauha","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd078","pkorvd078.ad.here.com","ad.here.com\shelke","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd118","pkorvd118.ad.here.com","ad.here.com\bamane","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd157","pkorvd157.ad.here.com","ad.here.com\kajha","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd122","pkorvd122.ad.here.com","ad.here.com\vpradeep","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd002","pkorvd002.ad.here.com","ad.here.com\akpandey","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd073","pkorvd073.ad.here.com","ad.here.com\gandre","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd124","pkorvd124.ad.here.com","ad.here.com\tjadhav","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
